student_id,internship_id,rating
S001,I001,5
S001,I002,5
S001,I004,4
S001,I006,5
S001,I024,4
S001,I029,5
S002,I001,4
S002,I002,5
S002,I006,4
S002,I024,5
S002,I025,4
S002,I029,5
S003,I003,5
S003,I002,4
S003,I026,5
S003,I027,5
S003,I021,4
S004,I009,5
S004,I010,4
S004,I028,5
S004,I015,5
S004,I007,3
S005,I011,5
S005,I010,5
S005,I003,3
S005,I007,4
S005,I028,4
S006,I012,5
S006,I013,5
S006,I025,4
S006,I014,5
S006,I008,3
S007,I016,5
S007,I017,4
S007,I015,3
S007,I001,2
S007,I018,3
S008,I018,5
S008,I007,4
S008,I009,4
S008,I019,5
S008,I028,4
S009,I020,5
S009,I021,5
S009,I002,4
S009,I003,3
S009,I030,5
S010,I022,5
S010,I023,5
S010,I014,4
S010,I018,3
S010,I012,3
S011,I001,5
S011,I006,5
S011,I024,5
S011,I029,4
S011,I004,4
S012,I002,5
S012,I003,4
S012,I026,5
S012,I027,4
S012,I030,5
S013,I009,5
S013,I028,5
S013,I007,4
S013,I015,4
S013,I010,5
S014,I012,5
S014,I013,4
S014,I025,5
S014,I008,4
S014,I014,4
S015,I016,5
S015,I017,5
S015,I018,3
S015,I019,4
S015,I007,3
S016,I020,5
S016,I021,5
S016,I030,4
S016,I002,4
S016,I026,3
S017,I022,5
S017,I023,4
S017,I014,5
S017,I012,4
S017,I018,3
S018,I001,4
S018,I004,5
S018,I005,5
S018,I006,5
S018,I024,5
S019,I003,5
S019,I026,5
S019,I027,5
S019,I002,4
S019,I030,4
S020,I009,4
S020,I010,5
S020,I028,5
S020,I015,4
S020,I011,3
S021,I012,4
S021,I013,5
S021,I025,5
S021,I008,4
S021,I020,3
S022,I016,5
S022,I017,4
S022,I019,5
S022,I018,4
S022,I015,3
S023,I020,5
S023,I021,5
S023,I030,5
S023,I002,4
S023,I003,3
S024,I022,5
S024,I023,5
S024,I014,5
S024,I012,4
S024,I018,3
S025,I001,5
S025,I006,4
S025,I024,5
S025,I029,5
S025,I004,4
